subj size,subj type,subj param,query start,query size,direct set,query type,container mode,init time,warmup time,total query time,run count,average time,success
100,exponential,3,2,10,true,sel,any,60832,18918,15707,20,785,OK
100,exponential,3,2,10,true,sel,ordered,54928,16166,23280,20,1164,OK
100,exponential,3,2,10,true,sel,unordered,49434,14554,21085,20,1054,OK
100,exponential,3,2,10,true,shuffle,any,59023,16847,24517,20,1225,OK
100,exponential,3,2,10,true,shuffle,unordered,49434,14639,20829,20,1041,OK
100,exponential,3,2,1,false,all,any,56135,13927,14434,20,721,OK
100,exponential,3,2,1,false,all,exact,50199,11845,15054,20,752,OK
100,exponential,3,2,1,false,all,ordered,51473,13414,17013,20,850,OK
100,exponential,3,2,1,false,all,unordered,48690,11254,13267,20,663,OK
100,exponential,3,2,1,false,sel,any,52684,12547,13608,20,680,OK
100,exponential,3,2,1,false,sel,ordered,54690,13211,17373,20,868,OK
100,exponential,3,2,1,false,sel,unordered,48523,11421,13769,20,688,OK
100,exponential,3,2,1,false,shuffle,any,53790,12586,13384,20,669,OK
100,exponential,3,2,1,false,shuffle,unordered,48558,11478,13768,20,688,OK
100,exponential,3,2,1,true,all,any,54666,12918,13573,20,678,OK
100,exponential,3,2,1,true,all,exact,50465,11655,13109,20,655,OK
100,exponential,3,2,1,true,all,ordered,54620,12595,14654,20,732,OK
100,exponential,3,2,1,true,all,unordered,48816,12002,13751,20,687,OK
100,exponential,3,2,1,true,sel,any,59464,12353,14354,20,717,OK
100,exponential,3,2,1,true,sel,ordered,53033,13102,13766,20,688,OK
100,exponential,3,2,1,true,sel,unordered,50477,11447,13491,20,674,OK
100,exponential,3,2,1,true,shuffle,any,57663,13981,14239,20,711,OK
100,exponential,3,2,1,true,shuffle,unordered,49719,11591,13930,20,696,OK
100,exponential,3,2,5,false,all,any,59638,16631,17958,20,897,OK
100,exponential,3,2,5,false,all,exact,51626,15700,16523,20,826,OK
100,exponential,3,2,5,false,all,ordered,54228,15311,19444,20,972,OK
100,exponential,3,2,5,false,all,unordered,49493,14817,17733,20,886,OK
100,exponential,3,2,5,false,sel,any,57519,14858,20289,20,1014,OK
100,exponential,3,2,5,false,sel,ordered,53562,15331,18259,20,912,OK
100,exponential,3,2,5,false,sel,unordered,49946,14019,17165,20,858,OK
100,exponential,3,2,5,false,shuffle,any,53834,16647,28396,20,1419,OK
100,exponential,3,2,5,false,shuffle,unordered,49357,14192,17647,20,882,OK
100,exponential,3,2,5,true,all,any,68515,15780,18693,20,934,OK
100,exponential,3,2,5,true,all,exact,50796,14543,16285,20,814,OK
100,exponential,3,2,5,true,all,ordered,51510,15269,17586,20,879,OK
100,exponential,3,2,5,true,all,unordered,50128,14965,17351,20,867,OK
100,exponential,3,2,5,true,sel,any,56338,16575,14494,20,724,OK
100,exponential,3,2,5,true,sel,ordered,52747,15291,18012,20,900,OK
100,exponential,3,2,5,true,sel,unordered,48808,14398,17614,20,880,OK
100,exponential,3,2,5,true,shuffle,any,59616,17396,21600,20,1080,OK
100,exponential,3,2,5,true,shuffle,unordered,50486,14746,17729,20,886,OK
100,exponential,3,3,10,false,all,any,54166,15239,18370,20,918,OK
100,exponential,3,3,10,false,all,exact,50920,15238,20312,20,1015,OK
100,exponential,3,3,10,false,all,ordered,54956,16096,21658,20,1082,OK
100,exponential,3,3,10,false,all,unordered,49137,14702,20958,20,1047,OK
